impl,msg_size,threads,avg_us,min_us,max_us
a1,64,1,3.54,1,367
a1,64,2,4.365,2,3008
a1,64,4,8.2825,2,6501
a1,64,8,14.1437,2,22042
a1,256,1,8.42,2,259
a1,256,2,10.075,2,377
a1,256,4,19.1675,2,5352
a1,256,8,21.295,2,16225
a1,1024,1,19.81,2,775
a1,1024,2,25.855,2,535
a1,1024,4,38.1325,2,4180
a1,1024,8,42.5787,2,9012
a1,4096,1,37.32,3,577
a1,4096,2,48.135,3,592
a1,4096,4,72.3475,2,4220
a1,4096,8,76.8837,4,20028
a2,64,1,2.08,1,442
a2,64,2,2.165,1,950
a2,64,4,3.3725,2,574
a2,64,8,7.25125,2,12796
a2,256,1,2.13,2,429
a2,256,2,2.33,2,316
a2,256,4,3.575,2,759
a2,256,8,8.12,2,37281
a2,1024,1,2.37,2,370
a2,1024,2,2.995,2,488
a2,1024,4,4.9525,2,1106
a2,1024,8,10.0062,2,7414
a2,4096,1,4.7,2,411
a2,4096,2,6.56,3,432
a2,4096,4,10.91,3,3082
a2,4096,8,21.1025,4,15280
a3,64,1,3.47,1,340
a3,64,2,4.645,2,329
a3,64,4,8.195,2,3758
a3,64,8,15.5275,2,4238
a3,256,1,5.5,2,330
a3,256,2,7.32,2,611
a3,256,4,11.54,2,3808
a3,256,8,16.2413,2,8085
a3,1024,1,6.7,2,424
a3,1024,2,7.665,2,446
a3,1024,4,12.215,2,2080
a3,1024,8,17.8813,2,7893
a3,4096,1,9.54,3,447
a3,4096,2,12.825,3,1235
a3,4096,4,20.0625,3,4293
a3,4096,8,33.0788,4,6108
