impl,msg_size,threads,cycles,instructions,l1_loads,l1_misses,llc_loads,llc_misses,context_switches
a1,64,1,37973314991,60613753820,15393049412,172656075,41838672,17050,182
a1,64,2,59116082774,94622139800,23993333944,255408037,59103123,25753,141
a1,64,4,105715773298,101413878452,25748373552,418908149,51283114,30536,1849
a1,64,8,110810253321,113025199070,28540338591,469289430,4163896,103515,549748
a1,256,1,39062140448,51451359939,13345737506,373880454,87778349,13765,96
a1,256,2,61365451136,77574160558,20102877583,555833352,124571557,30715,215
a1,256,4,109169238521,98403004336,25595108767,927880771,78303324,34367,2043
a1,256,8,105568879151,105831950927,26834505394,908276374,6733463,364999,686924
a1,1024,1,38810614427,49736646228,13066787826,507164971,96343687,15113,93
a1,1024,2,61693847155,76453793826,20109725615,801207789,147093650,13932,127
a1,1024,4,104326799455,97287370217,25552141645,1272117176,35937712,166411,26293
a1,1024,8,108289838891,109130939457,28231455386,2122909901,9005952,441482,1276958
a1,4096,1,38644088039,50446928143,13337309413,839171396,112348762,14611,114
a1,4096,2,61345845244,76696717205,20266286097,1250204837,153998220,23878,129
a1,4096,4,105247439316,100140495598,26460964491,1897313140,37206216,65718,12467
a1,4096,8,107755991488,106636499161,27710055602,3328938708,19130178,1275073,1618469
a2,64,1,10103955864,15025635971,3434154476,75290613,3430809,24526,4409
a2,64,2,19588810418,24569094028,5616319200,128669216,4661675,201048,8198
a2,64,4,39530179000,34774104615,7950257082,193395214,3036589,233016,10651
a2,64,8,38135460764,34344323599,7844684092,187064527,1328401,91013,9868
a2,256,1,12644166711,14796321286,3385138644,247252280,4809600,31645,12882
a2,256,2,23084554736,25762291955,5896405614,495972224,9964632,503987,18412
a2,256,4,42039770464,35079351672,8018200437,682731315,9602439,501276,26906
a2,256,8,39633960023,33419672916,7617591259,665117807,4614825,252517,26936
a2,1024,1,16046569037,16504799098,3782771816,837209024,11770845,317051,22220
a2,1024,2,30035309669,27193146893,6266623874,1466641819,22858014,1055202,18137
a2,1024,4,50750875659,37270807015,8683641708,2390065876,33881379,959198,36461
a2,1024,8,47001893258,31992074562,7271242160,2539316699,13866527,943618,34502
a2,4096,1,32576295020,25628577249,6305014531,2991885939,41774431,367051,6737
a2,4096,2,50394872635,40861512809,10146154607,4492872334,72518835,972354,9868
a2,4096,4,76093591312,44198992459,10820646727,5776038566,70198889,2003978,20407
a2,4096,8,66211747685,26164025573,5918811154,6390227270,39536019,3733717,85121
a3,64,1,29098091104,50826902046,11609814310,425108143,40020445,45155,452568
a3,64,2,46535280492,77699058522,17751917610,661084384,57255651,60197,671623
a3,64,4,80155222869,89311618494,20420203014,1020294305,40019304,54728,833992
a3,64,8,84833678120,95821761885,22300711813,1458914230,592606,27181,1657061
a3,256,1,38702058790,63606765966,15444538957,515867271,60484477,12178,213
a3,256,2,59281777054,93082107376,22533094192,774439360,88815321,39278,11454
a3,256,4,105259879470,111355087617,26904063062,1446446362,57835226,75141,8452
a3,256,8,109973587932,123047271391,29009459791,1740722105,4988492,117553,694245
a3,1024,1,38465007268,61645019041,14779530857,813870074,66362540,52600,833
a3,1024,2,57014256468,86840988254,20919967391,1151799705,91306440,144043,16542
a3,1024,4,99240808288,102918013297,24538588380,1977927797,71401966,568300,10088
a3,1024,8,55776418170,66111037698,14167239212,649319947,6167873,280208,219160
a3,4096,1,38626777814,53923480307,12844780453,2049928016,65883323,34321,183
a3,4096,2,59878455653,78880542791,18779772226,3001814002,97201776,104866,3147
a3,4096,4,105560451020,98999654571,23479896226,4046909689,82440921,387497,2896
a3,4096,8,30053693656,38354207765,7856720775,267337904,9729586,556598,142215
