impl,msg_size,threads,total_Gb,duration_sec,throughput_Gbps
a1,64,1,8.383,10,0.838
a1,64,2,15.595,10,1.559
a1,64,4,17.713,10,1.771
a1,64,8,20.921,10,2.094
a1,256,1,18.005,10,1.8
a1,256,2,29.488,10,2.949
a1,256,4,40.197,10,4.02
a1,256,8,65.696,10,6.571
a1,1024,1,31.693,10,3.169
a1,1024,2,49.826,10,4.983
a1,1024,4,67.16,10,6.715
a1,1024,8,146.95,10,14.695
a1,4096,1,65.306,10,6.531
a1,4096,2,107.439,10,10.744
a1,4096,4,133.814,10,13.382
a1,4096,8,269.375,10,26.937
a2,64,1,18.125,10,1.813
a2,64,2,33.614,10,3.361
a2,64,4,43.303,10,4.33
a2,64,8,42.032,10,4.203
a2,256,1,66.914,10,6.691
a2,256,2,119.522,10,11.953
a2,256,4,152.619,10,15.262
a2,256,8,148.813,10,14.882
a2,1024,1,205.865,10,20.586
a2,1024,2,365.992,10,36.6
a2,1024,4,438.057,10,43.805
a2,1024,8,468.373,10,46.837
a2,4096,1,428.128,10,42.813
a2,4096,2,663.396,10,66.339
a2,4096,4,817.91,10,81.791
a2,4096,8,876.647,10,87.664
a3,64,1,10.5,10,1.05
a3,64,2,15.657,10,1.566
a3,64,4,17.802,10,1.781
a3,64,8,20.802,10,2.081
a3,256,1,26.207,10,2.621
a3,256,2,40.503,10,4.051
a3,256,4,52.399,10,5.241
a3,256,8,79.207,10,7.921
a3,1024,1,99.382,10,9.938
a3,1024,2,145.309,10,14.531
a3,1024,4,181.661,10,18.166
a3,1024,8,281.824,10,28.183
a3,4096,1,260.147,10,26.015
a3,4096,2,384.209,10,38.421
a3,4096,4,498.121,10,49.812
a3,4096,8,591.265,10,59.125
